,id,title,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,num_bars,num_sections,num_segments,user
0,25zlnOAzbVoOzIeXSvQFf1,Got It On Me,0.688,0.647,2,-7.258,1,0.00815,1.65e-05,0.095,0.195,88.834,164580,4,59,4,645,willfrank
1,740kQ8xwSGloumdiKR5Cwz,Trillionaire (feat. Youngboy Never Broke Again),0.768,0.526,0,-7.182,1,0.237,0.0,0.139,0.473,139.999,167552,4,96,8,657,willfrank
2,2MbdDtCv5LUVjYy9RuGTgC,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",0.904,0.723,11,-5.224,0,0.0631,0.0,0.185,0.835,145.013,227478,4,136,10,1073,willfrank
3,3e39X4Q74yJzsYUEeyf4ws,OFF THE RIP,0.801,0.693,0,-4.002,1,0.0104,0.0,0.376,0.602,164.084,115610,4,77,6,566,willfrank
4,6gxKUmycQX7uyMwJcweFjp,We Paid (feat. 42 Dugg),0.926,0.542,1,-5.064,1,0.135,0.0,0.0877,0.564,135.14,181929,4,101,7,748,willfrank
5,3JKgcAa7r07ocVWcV8bS0H,21,0.783,0.479,7,-10.646,1,0.149,0.0,0.101,0.533,176.027,163798,4,120,9,708,willfrank
6,3Ddny34bFoYBb8dIGq5lwp,Zoo York (feat. Fivio Foreign & Pop Smoke),0.565,0.569,6,-6.084,0,0.0352,8.81e-06,0.106,0.303,92.466,214825,5,94,10,938,willfrank
7,5fHrHoJKfCgBd35zwIBmUK,D4L,0.718,0.706,1,-5.709,1,0.0128,0.0,0.352,0.815,170.004,189176,4,133,7,873,willfrank
8,57crda5Lx9OVaYCzb4Wrnd,CAN'T STOP,0.732,0.707,11,-5.849,0,0.0348,0.0,0.399,0.832,140.04,168373,4,98,7,806,willfrank
9,40mjsnRjCpycdUw3xhS20g,GATTI,0.594,0.676,2,-5.808,1,0.135,0.0,0.163,0.472,143.477,181145,4,108,8,748,willfrank
10,0j16JpJCRdWs9qhuuDKodi,Outro (feat. Lil Snupe & French Montana),0.494,0.664,11,-5.65,1,0.0195,0.0,0.109,0.131,127.55,298079,4,182,14,1189,willfrank
11,4SDgTLDYrJ2UrHbkRkg7MD,Panini - DaBaby Remix,0.717,0.598,5,-5.613,0,0.22,0.0,0.122,0.496,153.905,151040,4,97,8,591,willfrank
12,6OaVWaGfhXn70ZJfdVcabn,NO BYSTANDERS,0.731,0.811,1,-3.225,1,0.0204,0.0,0.411,0.426,147.045,218284,4,136,13,884,willfrank
13,0B8QzDH7YWih85V5SEMnyJ,Money Longer,0.795,0.568,5,-7.817,0,0.0541,0.0,0.108,0.478,136.173,198944,4,111,12,715,willfrank
14,6A9wHAasMxed0firnDao1K,No Sucker (feat. Moneybagg Yo),0.9,0.846,0,-4.884,1,0.025,0.0,0.204,0.851,129.966,188607,4,101,9,786,willfrank
15,7KSSdFCBHCfq4KPzz78ghk,Heatin Up (feat. Gunna),0.788,0.436,1,-9.435,1,0.0611,0.0,0.0979,0.341,129.847,177314,4,96,9,817,willfrank
16,2ZrAjMSmlbDIil0JaVgTHh,Broke In A Minute,0.929,0.7,0,-5.595,0,0.144,0.0,0.349,0.802,120.009,132024,4,65,7,582,willfrank
17,79s5XnCN4TJKTVMSmOx8Ep,Dior,0.548,0.805,7,-5.732,1,0.212,0.000389,0.408,0.648,142.094,216387,4,118,9,1015,willfrank
18,7gVwgc8b3XnO87TpmXXFA5,Diva (feat. Lil Tecca),0.686,0.703,6,-6.141,0,0.00728,0.0,0.0946,0.457,144.902,172005,4,104,9,684,willfrank
19,14PlDNjNh3pXyHXzkhX8n5,KEKE,0.599,0.857,7,-5.7,1,0.0321,0.0,0.4,0.469,187.985,151915,4,117,6,749,willfrank
20,59J5nzL1KniFHnU120dQzt,wokeuplikethis*,0.785,0.62,8,-6.667,1,0.0138,0.0,0.15,0.478,78.477,235535,4,76,13,1023,willfrank
21,6cPnE82DKBLd7sg02ZNg8K,"Splash Warning (feat. Future, Roddy Ricch and Young Thug)",0.766,0.703,10,-5.877,0,0.00807,0.0,0.0618,0.331,163.06,168495,4,111,7,727,willfrank
22,6GSkLS2y4ZnnZsuRAj975K,Project Dreams,0.78,0.828,8,-2.235,1,0.409,0.0,0.104,0.786,160.113,167898,4,114,8,770,willfrank
23,3EVzllf30zIBAtKb75bs1W,Forever (feat. Lil Wayne),0.619,0.668,4,-2.115,0,0.0799,0.0,0.122,0.147,76.514,201616,4,64,10,888,willfrank
24,0lSZh5W0wDeurkGzLYY6hf,Turks (feat. Travis Scott),0.893,0.618,7,-4.425,0,0.0827,0.0,0.542,0.389,119.099,161377,4,79,6,644,willfrank
25,6EFryfyWOobzFCBDB9qbrz,Safe House,0.485,0.662,9,-5.172,1,0.155,0.0,0.119,0.287,104.717,235989,3,154,12,893,willfrank
26,4lCSOu4tsSlljiQUlWJYVt,Invincible,0.731,0.734,11,-5.652,0,0.127,0.0,0.268,0.625,142.983,127547,4,75,5,570,willfrank
27,677KTHp39ZBJ9csDdgymI9,3 Headed Goat (feat. Lil Baby & Polo G),0.835,0.482,8,-8.607,0,0.262,0.0,0.0991,0.448,143.015,169532,4,100,8,784,willfrank
28,59JWp4PjZ9TRM8cmtaDYB1,Yessirskiii,0.895,0.739,8,-6.633,1,0.0183,7.61e-06,0.102,0.763,140.007,219340,4,127,10,1052,willfrank
29,1fPnUpoXCpD2NDI4vPVeLw,Stupid Again,0.775,0.823,5,-4.941,0,0.0881,0.0,0.309,0.65,120.059,174848,4,86,6,731,willfrank
30,0IpnZchq8ek2A6pGEP2Qb1,Bean (Kobe) [feat. Chief Keef],0.733,0.567,0,-6.718,1,0.0129,0.0,0.382,0.319,75.491,238816,4,76,8,1090,willfrank
31,3tDqEKKUs6gf8zMvSuLyLA,Commercial (feat. Lil Uzi Vert),0.892,0.486,11,-8.637,0,0.048,0.0,0.146,0.535,120.998,214215,4,106,9,942,willfrank
32,568OIKgeHyGRD3uWR44JbO,Racks 2 Skinny,0.814,0.584,1,-5.425,1,0.00839,0.0,0.0646,0.405,141.016,178025,4,105,6,770,willfrank
33,6O7fPYTsb2mY0PiFt2ymDB,Aim For The Moon (feat. Quavo),0.713,0.605,11,-7.487,1,0.497,3.46e-06,0.115,0.432,142.025,175756,4,103,9,821,willfrank
34,7hav1MHURQf5SAoPk0egqh,Baby Pluto,0.772,0.634,10,-6.101,0,0.135,0.0,0.432,0.671,160.052,210261,4,140,8,923,willfrank
35,2QqJTIlGKRLJC3onkavYEz,Flex (feat. Juice WRLD),0.752,0.673,10,-5.792,0,0.0538,0.0,0.133,0.35,164.009,163902,4,112,8,837,willfrank
36,2fZTS0VboxRpF0FdfY7E5P,Conversations,0.747,0.622,11,-5.825,1,0.176,0.0,0.151,0.57,159.93,181661,4,119,9,770,willfrank
37,7sTbqjPHnIcmkM1fLSr02y,Chiraq Demons (feat. G Herbo),0.739,0.665,1,-6.352,1,0.0736,0.0,0.14,0.232,160.207,174267,4,116,7,829,willfrank
38,7KUb9G3NNqbQ8NPb2ccU3s,Iced Out Audemars (feat. Dafi Woo),0.789,0.777,11,-5.69,0,0.0526,0.0,0.453,0.935,142.109,182535,4,109,10,785,willfrank
